"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2017","242.71","245.59","247.57","242.20","450.49M","-0.58%"
"Aug 06, 2017","244.12","247.49","248.91","243.70","351.70M","-1.33%"
"Jul 30, 2017","247.41","247.37","247.79","246.37","269.15M","0.20%"
"Jul 23, 2017","246.91","246.79","248.00","245.68","269.97M","0.01%"
"Jul 16, 2017","246.88","245.47","247.42","244.67","263.15M","0.54%"
"Jul 09, 2017","245.56","241.95","245.97","240.85","246.36M","1.42%"
"Jul 02, 2017","242.11","242.88","243.38","240.34","217.67M","0.13%"
"Jun 25, 2017","241.80","243.90","244.38","239.96","402.76M","-0.55%"
"Jun 18, 2017","243.13","243.59","244.73","242.41","289.14M","0.20%"
"Jun 11, 2017","242.64","243.13","244.87","241.63","375.80M","-0.32%"
"Jun 04, 2017","243.41","243.97","245.01","241.95","347.43M","-0.31%"
"May 28, 2017","244.17","241.34","244.35","240.64","284.63M","1.02%"
"May 21, 2017","241.71","238.90","242.08","238.82","269.23M","1.43%"
"May 14, 2017","238.31","239.47","240.67","235.43","507.39M","-0.28%"
"May 07, 2017","238.98","239.75","240.19","238.13","270.31M","-0.30%"
"Apr 30, 2017","239.70","238.68","239.72","237.70","320.86M","0.68%"
"Apr 23, 2017","238.08","237.18","239.53","234.56","401.55M","1.49%"
"Apr 16, 2017","234.59","233.11","235.84","232.88","423.29M","0.89%"
"Apr 09, 2017","232.51","235.36","236.25","232.51","330.41M","-1.14%"
"Apr 02, 2017","235.20","235.80","237.39","233.91","394.36M","-0.23%"
"Mar 26, 2017","235.74","231.93","236.52","231.61","373.36M","0.80%"
"Mar 19, 2017","233.86","237.03","237.61","232.96","494.83M","-1.34%"
"Mar 12, 2017","237.03","237.62","239.44","236.19","380.57M","-0.28%"
"Mar 05, 2017","237.69","237.50","238.12","235.74","371.34M","-0.31%"
"Feb 26, 2017","238.42","236.64","240.32","236.01","454.86M","0.71%"
"Feb 19, 2017","236.74","235.52","236.90","235.41","308.06M","0.70%"
"Feb 12, 2017","235.09","232.08","235.16","232.05","375.00M","1.55%"
"Feb 05, 2017","231.51","228.87","231.77","228.31","299.26M","0.95%"
"Jan 29, 2017","229.34","228.17","229.55","226.32","384.96M","0.16%"
"Jan 22, 2017","228.97","226.35","229.71","225.27","374.74M","0.98%"
"Jan 15, 2017","226.74","226.31","227.31","225.41","311.81M","-0.14%"
